﻿Title:,"Table 11 - HE student enrolments by permanent address and region of HE provider"
Subtitle:,"Academic years 2014/15 to 2022/23"
Reference ID:,DT051 Table 11
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Permanent address,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2021/22 
Search:,


"","Region of HE provider"
"Permanent address","England","Wales","Scotland","Northern Ireland","Total United Kingdom"
"Shropshire","7,755","995","140","10","8,900"
"Sir Benfro - Pembrokeshire","1,205","2,615","35","5","3,860"
"Sir Ceredigion - Ceredigion","780","1,885","45","5","2,710"
"Sir Ddinbych - Denbighshire","1,565","1,675","50","5","3,295"
"Sir Fynwy - Monmouthshire","1,655","1,680","75","10","3,425"
"Sir Gaerfyrddin - Carmarthenshire","1,510","5,270","65","15","6,860"
"Sir Y Fflint - Flintshire","2,890","2,130","70","5","5,100"
"Sir Ynys Môn - Isle of Anglesey","825","1,375","35","10","2,245"
"Slough","5,865","120","45","10","6,040"
"Somerset","12,325","1,155","265","25","13,775"
"South Ayrshire","145","10","3,470","0","3,630"
"South Gloucestershire","7,090","710","105","10","7,915"
"South Lanarkshire","355","15","10,750","0","11,120"
"South Yorkshire","34,810","445","435","25","35,720"
"Southend-on-Sea","4,660","105","60","5","4,830"
"Staffordshire","23,270","745","240","30","24,280"
"Stirling","265","5","3,685","5","3,965"
"Stockton-on-Tees","6,025","35","120","10","6,190"
"Suffolk","18,340","295","365","35","19,035"
"Surrey","39,260","1,340","965","65","41,625"
"Swindon","5,175","530","70","10","5,785"
"Telford and Wrekin","4,920","275","55","10","5,260"
"Thurrock","5,755","115","55","5","5,930"
"Tor-Faen - Torfaen","720","2,290","10","5","3,025"
"Torbay","2,595","260","40","0","2,895"
"Tyne and Wear","28,590","320","1,000","65","29,975"
"Warrington","6,250","135","140","10","6,535"
"Warwickshire","17,025","625","235","25","17,910"
"West Berkshire","4,375","280","100","10","4,765"
"West Dunbartonshire","65","5","2,560","0","2,630"
"West Lothian","240","10","5,770","5","6,025"
"West Midlands","102,575","3,100","665","140","106,480"
"West Sussex","22,765","695","425","40","23,925"
"West Yorkshire","67,200","710","1,050","75","69,035"
"Western Isles (Eilean Siar)","35","0","890","0","930"
"Wiltshire","13,485","1,325","325","25","15,160"
"Windsor and Maidenhead","5,225","240","140","10","5,615"
"Wokingham","5,955","365","110","15","6,440"
"Worcestershire","15,505","1,185","200","20","16,910"
"Wrecsam - Wrexham","2,240","2,920","65","0","5,225"
"England (county/unitary authority unknown)","4,755","60","335","30","5,185"
"Northern Ireland (district council area unknown)","40","5","15","200","260"
"Scotland (council area unknown)","70","0","975","5","1,050"
"Wales (unitary authority unknown)","75","80","10","0","165"
"Channel Islands not otherwise specified","2,590","125","195","5","2,915"
"United Kingdom, not otherwise specified","410","5","15","0","430"
"Afghanistan","270","10","50","5","335"
"Albania","685","5","30","75","790"
"Algeria","710","15","90","10","830"
"American Samoa","5","0","0","0","5"
"Andorra","20","0","0","0","25"
"Angola","255","0","20","0","275"
"Anguilla","30","0","0","0","35"
"Antigua and Barbuda","35","0","5","0","40"
"Argentina","265","5","35","5","305"
"Armenia","105","5","15","0","125"
"Aruba","0","0","0","0","0"
"Australia","1,715","50","245","15","2,020"
"Austria","1,225","40","275","5","1,550"
"Azerbaijan","460","15","60","0","535"
"Bahamas, The","125","5","20","0","150"
"Bahrain","1,255","60","125","10","1,445"
"Bangladesh","10,005","1,055","805","835","12,700"
"Barbados","175","5","5","5","190"
"Belarus","130","5","15","0","150"
"Belgium","2,065","75","330","5","2,475"
"Belize","25","0","10","0","30"
"Benin","30","0","0","0","30"
"Bermuda","440","20","25","0","485"
"Bhutan","35","0","5","0","40"
"Bolivia","80","5","15","5","100"
"Bonaire, Sint Eustatius and Saba","0","0","0","0","0"
"Bosnia and Herzegovina","55","0","10","0","70"
"Botswana","390","20","45","0","455"
"Brazil","1,255","25","155","10","1,450"
"British Virgin Islands","145","5","10","0","160"
"Brunei","545","60","100","5","710"
"Bulgaria","3,165","145","685","5","4,005"
"Burkina Faso","10","0","0","0","10"
"Burundi","25","5","5","0","30"
"Cambodia","260","10","15","0","285"
"Cameroon","410","20","75","10","520"
"Canada","5,650","305","1,380","150","7,480"
"Cape Verde","5","0","0","0","5"
"Cayman Islands","370","10","30","0","410"
"Central African Republic","5","0","0","0","5"
"Chad","10","0","0","0","10"
"Chile","740","10","110","0","860"
"China","124,385","4,745","20,830","1,740","151,700"
"Christmas Island","15","0","0","0","15"
"Colombia","780","5","75","10","870"
"Comoros","0","0","0","0","0"
"Congo","30","0","0","0","30"
"Congo (Democratic Republic) {formerly Zaire}","80","5","5","0","90"
"Cook Islands","0","0","0","0","0"
"Costa Rica","75","0","15","0","90"
"Croatia","730","35","95","0","860"
"Cuba","15","0","5","0","25"
"Curaçao","5","0","0","0","5"
"Cyprus (European Union)","5,405","305","610","15","6,330"
"Cyprus (Non-European Union)","145","0","10","0","155"
"Czech Republic","1,805","125","325","5","2,265"
"Denmark","840","25","285","5","1,155"
"Djibouti","5","0","0","0","10"
"Dominica","30","0","5","0","35"
"Dominican Republic","110","10","15","0","130"
"East Timor","5","0","0","0","5"
"Ecuador","295","5","45","5","350"
"Egypt","3,150","70","215","35","3,470"
"El Salvador","40","0","5","0","45"
"Equatorial Guinea","10","0","0","0","10"
"Eritrea","15","0","0","0","20"
"Estonia","500","25","95","0","615"
"Ethiopia","190","5","25","0","220"
"Falkland Islands","30","0","5","0","35"
"Faroe Islands","25","0","10","0","40"
"Fiji","15","0","5","0","20"
"Finland","765","20","520","10","1,315"
"France","9,910","360","1,560","40","11,870"
"French Polynesia","5","0","5","0","5"
"Gabon","20","0","0","0","20"
"Gambia, The","115","15","20","0","150"
"Georgia","185","10","35","0","235"
"Germany","7,450","505","1,925","35","9,915"
"Ghana","2,755","105","850","45","3,755"
"Gibraltar","885","55","25","0","970"
"Greece","5,850","275","950","20","7,100"
"Greenland","0","0","0","0","0"
"Grenada","30","0","0","0","35"
"Guam","0","0","0","0","0"
"Guatemala","45","5","15","0","65"
"Guinea","10","0","5","0","15"
"Guinea-Bissau","0","0","0","0","0"
"Guyana","55","0","25","0","80"
"Haiti","10","0","0","0","10"
"Honduras","40","0","5","0","50"
"Hong Kong (Special Administrative Region of China)","15,805","565","1,165","75","17,605"
"Hungary","1,615","50","385","0","2,055"
"Iceland","205","5","45","0","250"
"India","107,330","4,595","10,165","2,435","124,520"
"Indonesia","3,095","50","430","115","3,695"
"Iran","2,010","75","185","50","2,320"
"Iraq","455","45","120","10","625"
"Ireland","4,940","335","2,275","2,290","9,840"
"Israel","490","15","35","0","540"
"Italy","9,585","200","1,510","35","11,325"
"Ivory Coast","135","5","10","0","155"
"Jamaica","165","10","15","0","190"
"Japan","2,635","70","285","15","3,000"
"Jordan","1,635","80","130","40","1,880"
"Kazakhstan","960","20","135","5","1,120"
"Kenya","2,355","135","240","10","2,740"
"Kingdom of eSwatini","25","0","5","0","35"
"Kiribati","0","0","0","0","0"
"Korea (North)","15","0","0","0","15"
"Korea (South)","4,640","60","350","25","5,075"
"Kosovo","85","0","10","0","95"
"Kuwait","5,705","450","450","20","6,630"
"Kyrgyzstan","95","5","5","0","100"
"Laos","75","0","5","0","85"
"Latvia","965","20","130","0","1,115"
"Lebanon","1,390","35","100","15","1,540"
"Lesotho","10","0","5","0","15"
"Liberia","15","5","5","0","25"
"Libya","335","55","100","5","495"
"Liechtenstein","15","0","0","0","15"
"Lithuania","2,525","60","260","5","2,850"
"Luxembourg","730","25","185","5","950"
"Macao (Special Administrative Region of China)","490","5","65","5","560"
"Madagascar","35","0","5","0","40"
"Malawi","245","25","70","0","340"
"Malaysia","9,715","690","1,380","350","12,130"
"Maldives","220","10","20","0","250"
"Mali","15","0","5","0","15"
"Malta","430","55","135","5","630"
"Mauritania","25","0","0","0","25"
"Mauritius","820","15","55","0","895"
"Mayotte","0","0","0","0","0"
"Mexico","1,375","35","255","5","1,675"
"Micronesia","0","0","0","0","0"
"Moldova","85","0","5","0","95"
"Monaco","120","0","10","0","130"
"Mongolia","195","10","25","0","230"
"Montenegro","40","0","5","0","45"
"Montserrat","20","0","0","0","20"
"Morocco","1,300","40","65","55","1,460"
"Mozambique","120","5","15","0","145"
"Myanmar (Burma)","610","10","75","40","735"
"Namibia","100","10","30","0","140"
"Nauru","0","0","0","0","0"
"Nepal","3,975","110","565","205","4,855"
"Netherlands","2,360","95","510","10","2,975"
"New Caledonia","5","0","0","0","10"
"New Zealand","420","15","75","5","515"
"Nicaragua","10","0","5","0","15"
"Niger","20","0","0","0","20"
"Nigeria","34,010","2,330","5,620","1,560","43,520"
"Niue","0","0","0","0","0"
"Norfolk Island","0","0","0","0","0"
"North Macedonia","85","5","5","0","95"
"Norway","2,750","195","575","10","3,525"
"Occupied Palestinian Territories {formerly West Bank (including East Jerusalem) and Gaza Strip}","195","5","40","5","245"
"Oman","1,770","235","375","10","2,390"
"Pakistan","18,305","645","3,325","775","23,050"
"Palau","0","0","0","0","0"
"Panama","135","5","20","0","160"
"Papua New Guinea","10","0","5","0","15"
"Paraguay","60","0","20","0","85"
"Peru","750","10","75","5","835"
"Philippines","1,025","45","110","10","1,185"
"Pitcairn, Henderson, Ducie and Oeno Islands","0","0","0","0","0"
"Poland","6,455","605","845","10","7,910"
"Portugal","5,780","120","260","10","6,170"
"Puerto Rico","40","0","15","0","55"
"Qatar","2,545","140","195","20","2,900"
"Romania","8,350","240","315","15","8,915"
"Russia","2,995","45","295","15","3,355"
"Rwanda","145","0","30","0","180"
"Samoa","5","0","0","0","5"
"San Marino","5","0","0","0","5"
"Sao Tome and Principe","5","0","0","0","5"
"Saudi Arabia","7,125","690","740","185","8,745"
"Senegal","75","0","10","0","85"
"Serbia","260","0","25","0","285"
"Seychelles","115","5","15","0","135"
"Sierra Leone","125","5","20","0","150"
"Singapore","5,360","80","715","60","6,210"
"Sint Maarten (Dutch part)","20","0","0","0","20"
"Slovakia","1,155","55","400","5","1,620"
"Slovenia","220","5","90","0","310"
"Solomon Islands","5","0","0","0","5"
"Somalia","40","0","5","0","50"
"South Africa","1,795","70","375","10","2,255"
"South Georgia and The South Sandwich Islands","0","0","0","0","0"
"South Sudan","30","0","5","0","40"
"Spain","8,500","260","1,550","20","10,330"
"Sri Lanka","2,570","910","480","125","4,090"
"St Barthélemy","0","0","0","0","0"
"St Helena, Ascension and Tristan da Cunha","15","5","0","0","20"
"St Kitts and Nevis","30","0","5","0","35"
"St Lucia","40","0","0","0","45"
"St Martin (French Part)","5","0","0","0","10"
"St Vincent and the Grenadines","20","40","0","0","60"
"Sudan","310","15","55","10","390"
"Suriname","5","0","0","0","10"
"Svalbard and Jan Mayen","0","0","0","0","0"
"Sweden","1,860","50","530","5","2,445"
"Switzerland","3,540","85","390","5","4,020"
"Syria","180","5","25","5","220"
"Taiwan","3,250","35","395","10","3,695"
"Tajikistan","70","0","5","0","80"
"Tanzania","520","35","80","0","635"
"Thailand","4,760","75","560","10","5,405"
"Togo","20","5","0","0","20"
"Tokelau","0","0","0","0","0"
"Tonga","0","0","0","0","5"
"Trinidad and Tobago","355","15","40","5","415"
"Tunisia","210","5","10","5","225"
"Turkey","4,425","115","395","50","4,985"
"Turkmenistan","55","0","5","0","60"
"Turks and Caicos Islands","85","5","5","0","90"
"Tuvalu","0","0","0","0","0"
"Uganda","695","35","95","5","830"
"Ukraine","820","15","85","5","925"
"United Arab Emirates","7,035","205","740","95","8,080"
"United States","15,825","610","6,320","230","22,980"
"United States Virgin Islands","5","0","0","0","10"
"Uruguay","60","0","15","0","80"
"Uzbekistan","890","10","40","55","995"
"Vanuatu","5","0","0","0","5"
"Venezuela","110","5","15","0","130"
"Vietnam","2,420","55","155","35","2,660"
"Western Sahara","0","0","0","0","0"
"Yemen","60","10","5","0","75"
"Zambia","450","20","70","0","540"
"Zimbabwe","1,195","90","140","10","1,435"
"Europe not otherwise specified","50","5","5","0","55"
"European Union, not otherwise specified","190","15","70","0","280"
"Africa not otherwise specified","25","0","60","0","85"
"Antarctica and Oceania not otherwise specified","10","0","5","0","15"
"Asia (Except Middle East) not otherwise specified","5","0","5","0","10"
"Caribbean not otherwise specified","0","0","0","0","0"
"Central America not otherwise specified","0","0","0","0","0"
"Middle East not otherwise specified","0","0","0","0","0"
"North America not otherwise specified","5","0","0","0","5"
"South America not otherwise specified","0","0","0","0","0"
"Not known","45","10","35","0","90"
"Total","2,342,905","149,045","301,230","64,675","2,857,855"
