﻿Title:,"Table 11 - HE student enrolments by permanent address and region of HE provider"
Subtitle:,"Academic years 2014/15 to 2022/23"
Reference ID:,DT051 Table 11
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Permanent address,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2022/23 
Search:,


"","Region of HE provider"
"Permanent address","England","Wales","Scotland","Northern Ireland","Total United Kingdom"
"East Sussex","13,765","405","290","20","14,480"
"Essex","39,990","735","550","60","41,335"
"Falkirk","140","5","4,410","0","4,555"
"Fermanagh and Omagh","820","40","165","2,985","4,010"
"Fife","620","15","10,165","20","10,815"
"Gloucestershire","16,305","1,840","345","20","18,510"
"Greater London","389,825","6,205","6,820","405","403,255"
"Greater Manchester","92,780","1,295","1,150","160","95,385"
"Gwynedd - Gwynedd","1,280","2,490","70","10","3,850"
"Halton","2,980","85","35","5","3,100"
"Hampshire","37,235","1,795","660","60","39,745"
"Hartlepool","2,440","30","40","5","2,510"
"Herefordshire","4,185","710","95","5","4,995"
"Hertfordshire","40,855","1,005","760","60","42,680"
"Highland","340","20","7,680","5","8,045"
"Inverclyde","65","10","2,335","5","2,415"
"Isle of Man","1,200","55","60","20","1,335"
"Isle of Wight","3,005","90","50","0","3,145"
"Isles of Scilly","40","5","0","0","50"
"Kent","45,530","1,020","740","65","47,355"
"Lancashire","32,025","595","640","45","33,305"
"Leicestershire","18,910","460","230","25","19,630"
"Lincolnshire","18,620","300","270","15","19,205"
"Lisburn and Castlereagh","1,185","65","375","4,100","5,725"
"Luton","9,585","115","60","5","9,770"
"Medway","7,975","170","90","5","8,245"
"Merseyside","39,480","845","580","95","41,000"
"Merthyr Tudful - Merthyr Tydfil","295","1,410","5","5","1,710"
"Mid Ulster","675","40","135","4,025","4,875"
"Mid and East Antrim","710","30","230","3,395","4,365"
"Middlesbrough","4,355","35","35","10","4,440"
"Midlothian","180","10","2,520","5","2,715"
"Milton Keynes","10,790","215","130","15","11,150"
"Moray","190","10","2,900","0","3,100"
"Newry, Mourne and Down","1,025","45","260","4,995","6,325"
"Norfolk","20,170","365","335","25","20,895"
"North Ayrshire","140","10","3,470","0","3,620"
"North Down and Ards","1,170","80","460","3,620","5,335"
"North East Lincolnshire","3,120","50","20","5","3,195"
"North Lanarkshire","225","15","10,090","5","10,335"
"North Lincolnshire","3,530","40","35","5","3,610"
"North Somerset","5,165","565","80","10","5,815"
"North Yorkshire","16,145","250","590","45","17,035"
"Northamptonshire","23,530","605","295","35","24,465"
"Northumberland","7,335","75","480","25","7,915"
"Nottinghamshire","21,625","375","245","30","22,275"
"Orkney Islands","35","0","770","0","805"
"Oxfordshire","23,620","1,095","640","35","25,385"
"Pen-Y-Bont Ar Ogwr - Bridgend","1,225","4,080","30","5","5,335"
"Perth and Kinross","400","10","5,575","5","5,990"
"Peterborough","6,620","90","55","10","6,770"
"Powys - Powys","1,775","2,315","50","0","4,140"
"Reading","5,235","210","80","10","5,535"
"Redcar and Cleveland","3,495","10","50","10","3,560"
"Renfrewshire","235","5","6,005","5","6,255"
"Rhondda, Cynon, Taff - Rhondda, Cynon, Taff","1,465","5,665","40","15","7,185"
"Rutland","1,270","25","30","5","1,330"
"Scottish Borders","350","10","3,215","5","3,580"
"Shetland Islands","40","0","930","0","970"
"Shropshire","7,530","1,005","130","10","8,675"
"Sir Benfro - Pembrokeshire","1,185","2,400","40","0","3,625"
"Sir Ceredigion - Ceredigion","750","1,935","45","5","2,730"
"Sir Ddinbych - Denbighshire","1,540","1,755","40","10","3,340"
"Sir Fynwy - Monmouthshire","1,630","1,570","55","10","3,265"
"Sir Gaerfyrddin - Carmarthenshire","1,505","5,070","55","10","6,645"
"Sir Y Fflint - Flintshire","2,820","2,295","65","5","5,190"
"Sir Ynys Môn - Isle of Anglesey","830","1,300","35","10","2,170"
"Slough","5,990","130","45","5","6,175"
"Somerset","12,020","1,105","260","25","13,410"
"South Ayrshire","145","10","3,245","5","3,405"
"South Gloucestershire","7,000","730","95","5","7,830"
"South Lanarkshire","340","15","10,435","10","10,800"
"South Yorkshire","36,515","565","395","30","37,510"
"Southend-on-Sea","4,680","115","45","0","4,840"
"Staffordshire","23,645","790","225","25","24,680"
"Stirling","240","5","3,410","10","3,665"
"Stockton-on-Tees","5,915","45","105","10","6,070"
"Suffolk","18,500","305","330","45","19,180"
"Surrey","39,105","1,400","885","65","41,455"
"Swindon","5,195","535","80","10","5,820"
"Telford and Wrekin","5,000","325","50","5","5,375"
"Thurrock","6,135","120","50","5","6,310"
"Tor-Faen - Torfaen","685","2,290","15","0","2,985"
"Torbay","2,545","265","35","0","2,850"
"Tyne and Wear","28,485","340","920","80","29,820"
"Warrington","6,165","145","140","5","6,460"
"Warwickshire","17,295","695","220","30","18,240"
"West Berkshire","4,360","300","100","15","4,775"
"West Dunbartonshire","60","10","2,435","0","2,505"
"West Lothian","220","5","5,660","5","5,890"
"West Midlands","104,625","3,710","650","115","109,100"
"West Sussex","22,595","730","395","40","23,760"
"West Yorkshire","68,265","710","1,000","80","70,055"
"Western Isles (Eilean Siar)","30","0","855","5","890"
"Wiltshire","13,230","1,420","305","30","14,985"
"Windsor and Maidenhead","5,110","245","125","10","5,490"
"Wokingham","6,005","410","100","15","6,530"
"Worcestershire","15,350","1,220","175","15","16,760"
"Wrecsam - Wrexham","2,140","2,830","65","0","5,035"
"England (county/unitary authority unknown)","2,325","205","235","30","2,795"
"Northern Ireland (district council area unknown)","15","5","15","165","200"
"Scotland (council area unknown)","35","5","620","5","665"
"Wales (unitary authority unknown)","30","250","10","0","290"
"Channel Islands not otherwise specified","2,500","125","170","5","2,805"
"United Kingdom, not otherwise specified","1,725","105","370","20","2,220"
"Afghanistan","395","15","135","5","545"
"Albania","750","5","35","115","910"
"Algeria","860","15","85","15","975"
"American Samoa","0","0","0","0","0"
"Andorra","15","0","0","0","20"
"Angola","195","0","15","0","215"
"Anguilla","35","5","0","0","40"
"Antigua and Barbuda","30","5","5","0","35"
"Argentina","225","5","30","5","265"
"Armenia","100","0","15","0","115"
"Aruba","0","0","0","0","5"
"Australia","1,865","40","235","15","2,155"
"Austria","1,060","35","205","10","1,310"
"Azerbaijan","595","20","70","5","685"
"Bahamas, The","120","5","15","0","140"
"Bahrain","1,215","65","100","10","1,395"
"Bangladesh","11,625","1,400","880","1,040","14,945"
"Barbados","155","5","10","0","170"
"Belarus","110","5","15","0","130"
"Belgium","1,780","45","270","10","2,100"
"Belize","25","0","5","0","35"
"Benin","25","0","0","0","30"
"Bermuda","435","20","20","0","480"
"Bhutan","80","5","5","0","90"
"Bolivia","70","5","10","5","90"
"Bosnia and Herzegovina","45","0","10","0","60"
"Botswana","415","20","35","5","470"
"Brazil","1,255","15","150","10","1,425"
"British Virgin Islands","135","5","10","0","150"
"Brunei","610","45","110","10","770"
"Bulgaria","2,060","75","440","5","2,585"
"Burkina Faso","10","0","0","0","10"
"Burundi","20","0","0","0","25"
"Cambodia","320","5","15","0","340"
"Cameroon","440","20","60","10","525"
"Canada","5,805","295","1,205","140","7,445"
"Cape Verde","5","0","0","0","5"
"Cayman Islands","430","15","25","0","475"
"Central African Republic","5","0","0","0","5"
"Chad","5","0","0","0","10"
"Chile","770","10","90","0","870"
"China","130,050","3,715","19,000","1,495","154,260"
"Christmas Island","5","0","0","0","5"
"Colombia","760","10","80","15","860"
"Comoros","0","0","0","0","0"
"Congo","20","0","0","0","25"
"Congo (Democratic Republic) {formerly Zaire}","90","0","5","0","100"
"Cook Islands","0","0","0","0","0"
"Costa Rica","65","0","10","0","75"
"Croatia","480","20","75","0","580"
"Cuba","15","0","5","0","20"
"Curaçao","5","0","0","0","5"
"Cyprus (European Union)","4,195","215","450","10","4,870"
"Cyprus (Non-European Union)","250","0","5","5","265"
"Czech Republic","1,405","70","235","5","1,710"
"Denmark","670","15","200","5","890"
"Djibouti","10","0","0","0","10"
"Dominica","30","0","0","0","30"
"Dominican Republic","110","10","15","0","135"
"East Timor","10","0","0","0","10"
"Ecuador","290","5","45","5","340"
"Egypt","3,225","80","210","45","3,560"
"El Salvador","35","0","5","0","40"
"Equatorial Guinea","10","0","0","0","10"
"Eritrea","10","0","0","0","15"
"Estonia","350","20","65","0","430"
"Ethiopia","165","5","20","0","195"
"Falkland Islands","25","0","5","0","35"
"Faroe Islands","15","0","5","0","20"
"Fiji","15","5","5","0","25"
"Finland","550","15","340","5","910"
"France","8,680","295","1,305","30","10,305"
"French Polynesia","5","0","0","0","5"
"Gabon","25","0","0","0","25"
"Gambia, The","115","15","20","0","150"
"Georgia","190","5","45","0","240"
"Germany","6,320","365","1,495","55","8,240"
"Ghana","3,725","150","915","75","4,860"
"Gibraltar","860","55","25","0","940"
"Greece","4,495","195","740","25","5,455"
"Grenada","35","0","0","0","35"
"Guam","5","0","0","0","5"
"Guatemala","50","0","10","0","60"
"Guinea","5","0","0","0","10"
"Guyana","55","0","10","0","65"
"Haiti","10","0","0","0","10"
"Honduras","35","0","5","0","40"
"Hong Kong (Special Administrative Region of China)","16,200","520","1,110","75","17,905"
"Hungary","1,210","25","295","5","1,540"
"Iceland","180","5","40","0","220"
"India","150,875","6,760","12,235","3,320","173,190"
"Indonesia","3,530","55","500","150","4,230"
"Iran","3,005","85","285","125","3,505"
"Iraq","555","40","130","10","735"
"Ireland","4,610","260","1,775","2,765","9,410"
"Israel","505","10","45","0","565"
"Italy","7,920","140","1,125","35","9,220"
"Ivory Coast","125","5","5","0","135"
"Jamaica","170","5","15","0","190"
"Japan","2,695","65","265","15","3,035"
"Jordan","1,580","70","120","40","1,810"
"Kazakhstan","950","15","120","5","1,085"
"Kenya","2,750","145","225","20","3,145"
"Kingdom of eSwatini","30","0","5","0","40"
"Kiribati","0","0","0","0","0"
"Korea (North)","20","0","0","0","20"
"Korea (South)","4,835","60","365","35","5,300"
"Kosovo","85","0","10","0","95"
"Kuwait","5,485","385","485","40","6,400"
"Kyrgyzstan","95","0","5","0","100"
"Laos","80","0","5","0","85"
"Latvia","660","15","115","0","790"
"Lebanon","1,285","35","75","20","1,415"
"Lesotho","15","0","5","0","20"
"Liberia","25","0","5","0","30"
"Libya","385","50","75","0","510"
"Liechtenstein","20","0","0","0","20"
"Lithuania","1,590","40","175","0","1,805"
"Luxembourg","655","25","155","5","840"
"Macao (Special Administrative Region of China)","485","10","65","0","555"
"Madagascar","35","0","0","0","40"
"Malawi","245","15","50","0","315"
"Malaysia","10,510","745","1,415","330","13,005"
"Maldives","250","5","30","0","290"
"Mali","10","0","5","0","15"
"Malta","355","35","100","5","495"
"Mauritania","25","0","25","0","50"
"Mauritius","840","15","40","0","900"
"Mayotte","0","0","0","0","0"
"Mexico","1,390","30","210","5","1,635"
"Moldova","90","0","5","0","100"
"Monaco","115","5","10","0","130"
"Mongolia","220","10","20","0","250"
"Montenegro","35","0","5","0","40"
"Montserrat","15","0","0","0","20"
"Morocco","1,440","65","55","95","1,650"
"Mozambique","120","5","10","0","130"
"Myanmar (Burma)","1,120","10","80","75","1,280"
"Namibia","110","10","25","0","145"
"Nauru","5","0","0","0","5"
"Nepal","6,485","190","785","265","7,720"
"Netherlands","2,125","70","405","15","2,610"
"Netherlands Antilles","0","0","0","0","0"
"New Caledonia","0","0","0","0","0"
"New Zealand","465","10","75","0","550"
"Nicaragua","10","0","5","0","15"
"Niger","25","0","0","0","30"
"Nigeria","55,340","4,675","9,415","2,925","72,355"
"Niue","10","0","0","0","15"
"Norfolk Island","0","0","0","0","5"
"North Macedonia","90","5","10","0","100"
"Northern Mariana Islands","0","0","0","0","0"
"Norway","2,360","175","460","10","3,000"
"Occupied Palestinian Territories {formerly West Bank (including East Jerusalem) and Gaza Strip}","185","5","35","5","235"
"Oman","1,675","235","370","10","2,285"
"Pakistan","27,165","1,200","5,075","1,250","34,690"
"Palau","0","0","0","0","0"
"Panama","115","0","15","5","135"
"Papua New Guinea","10","0","5","0","20"
"Paraguay","50","0","20","0","70"
"Peru","790","10","65","5","870"
"Philippines","1,050","40","115","10","1,215"
"Pitcairn, Henderson, Ducie and Oeno Islands","0","0","0","0","0"
"Poland","4,630","395","675","5","5,710"
"Portugal","4,060","85","220","10","4,370"
"Puerto Rico","40","0","20","0","60"
"Qatar","2,330","120","145","15","2,610"
"Romania","5,670","100","235","10","6,020"
"Russia","2,755","40","250","25","3,070"
"Rwanda","160","5","15","0","180"
"Samoa","5","0","0","0","5"
"San Marino","5","0","0","0","5"
"Sao Tome and Principe","0","0","0","0","0"
"Saudi Arabia","7,545","620","670","210","9,045"
"Senegal","75","0","35","0","110"
"Serbia","240","0","15","0","255"
"Seychelles","110","5","10","0","130"
"Sierra Leone","120","10","10","5","140"
"Singapore","5,420","85","685","40","6,235"
"Sint Maarten (Dutch part)","10","0","0","0","10"
"Slovakia","875","35","285","5","1,200"
"Slovenia","185","0","65","0","250"
"Solomon Islands","5","0","5","0","10"
"Somalia","45","0","10","0","60"
"South Africa","1,945","65","345","20","2,375"
"South Georgia and The South Sandwich Islands","0","0","0","0","0"
"South Sudan","25","5","5","0","30"
"Spain","7,285","210","1,220","20","8,730"
"Sri Lanka","5,350","1,450","585","215","7,600"
"St Barthélemy","5","0","0","0","5"
"St Helena, Ascension and Tristan da Cunha","20","0","0","0","20"
"St Kitts and Nevis","35","0","5","0","40"
"St Lucia","40","0","0","0","45"
"St Martin (French Part)","5","0","0","0","10"
"St Pierre and Miquelon","0","0","0","0","0"
"St Vincent and the Grenadines","20","40","5","0","65"
"Sudan","305","15","45","5","370"
"Suriname","5","0","0","0","5"
"Svalbard and Jan Mayen","0","0","0","0","0"
"Sweden","1,520","40","385","10","1,955"
"Switzerland","3,360","75","360","15","3,805"
"Syria","165","5","30","10","215"
"Taiwan","3,775","30","395","10","4,210"
"Tajikistan","75","0","5","0","85"
"Tanzania","500","35","85","5","625"
"Thailand","5,620","65","510","10","6,205"
"Togo","25","0","0","0","30"
"Tokelau","5","0","0","0","5"
"Tonga","5","0","0","0","5"
"Trinidad and Tobago","330","5","30","5","365"
"Tunisia","185","5","15","5","210"
"Turkey","4,835","100","445","80","5,455"
"Turkmenistan","45","0","5","0","50"
"Turks and Caicos Islands","95","0","5","0","95"
"Tuvalu","0","0","0","0","0"
"Uganda","770","40","85","10","905"
"Ukraine","1,195","25","270","10","1,500"
"United Arab Emirates","7,280","210","760","100","8,350"
"United States","15,465","640","6,080","355","22,540"
"United States Virgin Islands","10","0","0","0","15"
"Uruguay","75","5","10","0","90"
"Uzbekistan","1,155","15","50","40","1,265"
"Vanuatu","5","0","5","0","5"
"Vatican City","0","0","0","0","0"
"Venezuela","100","0","5","0","110"
"Vietnam","2,985","70","165","20","3,240"
"Western Sahara","0","0","0","0","0"
"Yemen","115","10","0","0","125"
"Zambia","430","20","50","5","500"
"Zimbabwe","1,145","80","105","5","1,340"
"Europe not otherwise specified","135","0","5","0","140"
"European Union, not otherwise specified","155","10","65","0","230"
"Africa not otherwise specified","25","5","20","0","50"
"Antarctica and Oceania not otherwise specified","10","0","5","0","15"
"Asia (Except Middle East) not otherwise specified","25","0","5","0","25"
"Caribbean not otherwise specified","0","0","0","0","0"
"Central America not otherwise specified","0","0","0","0","0"
"Middle East not otherwise specified","10","0","0","0","10"
"North America not otherwise specified","5","0","0","0","10"
"Not known","1,540","475","720","35","2,770"
"Total","2,423,010","154,385","292,240","67,515","2,937,155"
