﻿Title:,"Table 11 - HE student enrolments by permanent address and region of HE provider"
Subtitle:,"Academic years 2014/15 to 2022/23"
Reference ID:,DT051 Table 11
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Permanent address,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2017/18 
Search:,


"","Region of HE provider"
"Permanent address","England","Wales","Scotland","Northern Ireland","Total United Kingdom"
"Hartlepool","2,545","10","40","5","2,595"
"Herefordshire","3,995","675","90","0","4,760"
"Hertfordshire","36,150","690","645","70","37,550"
"Highland","370","25","7,855","10","8,255"
"Inverclyde","75","5","2,110","5","2,185"
"Isle of Man","1,225","55","105","20","1,410"
"Isle of Wight","3,105","100","40","5","3,250"
"Isles of Scilly","35","5","0","0","40"
"Kent","39,640","725","640","50","41,055"
"Lancashire","31,240","565","785","65","32,655"
"Leicestershire","17,640","370","215","30","18,255"
"Lincolnshire","18,045","220","275","25","18,565"
"Lisburn and Castlereagh","1,185","50","425","3,860","5,520"
"Luton","7,575","55","40","15","7,685"
"Medway","6,995","95","70","5","7,165"
"Merseyside","37,360","790","590","95","38,830"
"Merthyr Tudful - Merthyr Tydfil","220","1,410","5","0","1,635"
"Mid Ulster","650","40","175","3,860","4,725"
"Mid and East Antrim","790","55","320","3,035","4,200"
"Middlesbrough","4,325","20","40","5","4,390"
"Midlothian","130","5","2,080","10","2,220"
"Milton Keynes","8,810","180","90","15","9,095"
"Moray","205","5","3,140","5","3,350"
"Newry, Mourne and Down","1,230","85","360","4,715","6,390"
"Norfolk","18,845","275","345","45","19,505"
"North Ayrshire","110","5","3,285","0","3,400"
"North Down and Ards","1,290","70","560","3,425","5,340"
"North East Lincolnshire","2,960","20","40","0","3,020"
"North Lanarkshire","235","10","8,930","10","9,185"
"North Lincolnshire","3,340","45","50","0","3,435"
"North Somerset","4,755","530","70","10","5,365"
"North Yorkshire","15,885","260","650","30","16,830"
"Northamptonshire","18,990","425","225","35","19,675"
"Northumberland","7,080","70","535","20","7,710"
"Nottinghamshire","19,650","250","235","20","20,150"
"Orkney Islands","40","5","745","5","790"
"Oxfordshire","21,595","940","540","40","23,115"
"Pen-Y-Bont Ar Ogwr - Bridgend","1,095","3,655","25","10","4,785"
"Perth and Kinross","405","10","5,405","10","5,825"
"Peterborough","4,780","65","60","10","4,920"
"Poole","3,525","165","45","15","3,755"
"Powys - Powys","1,830","2,135","60","0","4,025"
"Reading","4,525","145","85","5","4,760"
"Redcar and Cleveland","3,700","5","50","0","3,760"
"Renfrewshire","210","5","5,520","5","5,745"
"Rhondda, Cynon, Taff - Rhondda, Cynon, Taff","1,135","5,230","25","5","6,395"
"Rutland","1,105","20","35","5","1,170"
"Scottish Borders","365","15","2,910","5","3,290"
"Shetland Islands","35","0","835","0","875"
"Shropshire","7,250","985","135","15","8,380"
"Sir Benfro - Pembrokeshire","1,135","2,345","30","5","3,515"
"Sir Ceredigion - Ceredigion","725","1,805","35","0","2,570"
"Sir Ddinbych - Denbighshire","1,550","1,565","35","5","3,150"
"Sir Fynwy - Monmouthshire","1,540","1,605","65","10","3,220"
"Sir Gaerfyrddin - Carmarthenshire","1,400","4,845","40","15","6,300"
"Sir Y Fflint - Flintshire","2,585","1,870","40","5","4,505"
"Sir Ynys Môn - Isle of Anglesey","745","1,250","15","0","2,010"
"Slough","4,585","105","50","5","4,745"
"Somerset","11,800","1,105","215","25","13,145"
"South Ayrshire","150","5","3,315","5","3,480"
"South Gloucestershire","6,545","725","80","20","7,370"
"South Lanarkshire","310","5","9,270","10","9,595"
"South Yorkshire","30,290","340","400","40","31,075"
"Southend-on-Sea","4,345","75","50","10","4,485"
"Staffordshire","21,790","640","215","30","22,670"
"Stirling","230","10","3,155","5","3,400"
"Stockton-on-Tees","6,020","35","75","5","6,135"
"Suffolk","17,955","290","315","25","18,590"
"Surrey","35,475","1,140","775","55","37,450"
"Swindon","4,315","400","45","5","4,760"
"Telford and Wrekin","3,990","285","50","5","4,330"
"Thurrock","4,140","55","40","10","4,245"
"Tor-Faen - Torfaen","610","1,730","10","0","2,350"
"Torbay","2,700","185","25","0","2,915"
"Tyne and Wear","26,595","150","1,015","75","27,835"
"Warrington","5,735","165","120","10","6,025"
"Warwickshire","15,335","540","230","30","16,135"
"West Berkshire","4,105","270","75","5","4,460"
"West Dunbartonshire","75","0","2,305","0","2,385"
"West Lothian","190","5","4,875","5","5,080"
"West Midlands","85,745","2,260","600","135","88,745"
"West Sussex","20,415","595","365","55","21,430"
"West Yorkshire","58,280","625","955","85","59,945"
"Western Isles (Eilean Siar)","40","5","915","0","960"
"Wiltshire","12,645","1,025","260","30","13,960"
"Windsor and Maidenhead","4,565","185","105","10","4,865"
"Wokingham","5,280","300","90","10","5,675"
"Worcestershire","14,600","1,070","180","10","15,865"
"Wrecsam - Wrexham","1,980","2,555","55","0","4,595"
"England (county/unitary authority unknown)","4,445","90","450","10","5,000"
"Northern Ireland (district council area unknown)","40","0","15","40","90"
"Scotland (council area unknown)","70","5","2,230","5","2,310"
"Wales (unitary authority unknown)","45","95","10","0","150"
"Channel Islands not otherwise specified","2,250","90","130","10","2,485"
"United Kingdom, not otherwise specified","540","30","15","0","585"
"Afghanistan","135","0","5","0","140"
"Albania","285","5","20","0","310"
"Algeria","415","10","50","0","475"
"American Samoa","0","0","0","0","0"
"Andorra","10","0","5","0","15"
"Angola","615","15","125","15","770"
"Anguilla","40","0","5","0","45"
"Antigua and Barbuda","35","0","5","0","40"
"Argentina","255","0","35","5","290"
"Armenia","100","0","10","0","110"
"Aruba","5","0","0","0","5"
"Australia","1,900","40","210","35","2,185"
"Austria","1,615","45","375","10","2,040"
"Azerbaijan","460","30","70","0","560"
"Bahamas, The","140","55","10","0","205"
"Bahrain","1,335","130","65","5","1,535"
"Bangladesh","2,040","195","290","25","2,560"
"Barbados","190","10","20","5","220"
"Belarus","160","5","15","0","185"
"Belgium","2,720","90","405","5","3,220"
"Belize","30","0","5","0","40"
"Benin","20","0","0","0","20"
"Bermuda","450","20","20","0","490"
"Bhutan","20","0","0","0","25"
"Bolivia","60","0","10","0","70"
"Bonaire, Sint Eustatius and Saba","0","0","0","0","0"
"Bosnia and Herzegovina","50","0","10","0","60"
"Botswana","385","40","35","0","465"
"Brazil","1,550","40","160","5","1,750"
"British Virgin Islands","195","10","10","0","215"
"Brunei","985","85","70","25","1,170"
"Bulgaria","4,685","310","1,185","10","6,185"
"Burkina Faso","10","0","0","0","15"
"Burma","450","10","60","30","550"
"Burundi","10","0","0","0","15"
"Cambodia","140","5","10","5","155"
"Cameroon","270","20","35","0","325"
"Canada","4,980","205","1,050","100","6,335"
"Cape Verde","5","0","0","0","5"
"Cayman Islands","260","10","25","0","295"
"Central African Republic","5","0","0","0","5"
"Chad","5","0","0","0","5"
"Chile","775","5","100","0","880"
"China","90,430","6,020","9,525","1,255","107,230"
"Christmas Island","5","0","0","0","10"
"Colombia","880","35","90","15","1,020"
"Comoros","0","0","0","0","0"
"Congo","15","0","0","0","15"
"Congo (Democratic Republic) {formerly Zaire}","45","5","5","0","50"
"Cook Islands","0","0","0","0","0"
"Costa Rica","85","0","15","0","100"
"Croatia","845","50","105","5","1,005"
"Cuba","15","0","5","0","25"
"Curaçao","10","0","0","0","10"
"Cyprus (European Union)","8,225","500","745","15","9,485"
"Cyprus (Non-European Union)","90","5","15","0","110"
"Czech Republic","1,890","165","450","10","2,520"
"Denmark","1,180","35","330","10","1,550"
"Djibouti","15","0","0","0","15"
"Dominica","15","0","0","0","15"
"Dominican Republic","170","0","25","0","195"
"East Timor","5","0","0","0","5"
"Ecuador","470","5","90","0","570"
"Egypt","2,335","90","190","15","2,630"
"El Salvador","35","0","5","0","40"
"Equatorial Guinea","10","0","0","0","10"
"Eritrea","10","0","0","0","15"
"Estonia","785","50","150","0","980"
"Ethiopia","140","5","20","0","165"
"Falkland Islands","40","0","0","0","40"
"Faroe Islands","50","0","20","0","75"
"Fiji","20","0","0","0","20"
"Finland","1,155","50","860","5","2,070"
"France","11,255","820","1,935","75","14,090"
"French Polynesia","5","0","0","0","5"
"Gabon","15","0","5","0","20"
"Gambia, The","100","5","20","0","125"
"Georgia","185","5","25","0","220"
"Germany","9,930","1,035","2,825","75","13,865"
"Ghana","1,225","60","250","15","1,550"
"Gibraltar","805","105","20","0","935"
"Greece","8,200","520","1,510","40","10,275"
"Greenland","5","0","0","0","5"
"Grenada","25","5","0","0","30"
"Guam","5","0","0","0","5"
"Guatemala","40","0","10","0","50"
"Guinea","10","0","0","0","10"
"Guinea-Bissau","5","0","0","0","5"
"Guyana","65","5","15","0","85"
"Haiti","5","0","0","0","5"
"Honduras","25","0","10","0","35"
"Hong Kong (Special Administrative Region of China)","15,000","580","930","110","16,620"
"Hungary","1,660","95","500","5","2,260"
"Iceland","195","5","40","0","245"
"India","17,955","800","1,660","190","20,605"
"Indonesia","2,585","70","340","55","3,050"
"Iran","1,310","50","120","20","1,500"
"Iraq","680","60","50","10","800"
"Ireland","5,295","430","1,890","2,120","9,735"
"Israel","460","5","25","0","495"
"Italy","12,105","365","2,070","45","14,585"
"Ivory Coast","115","0","0","0","120"
"Jamaica","165","35","25","0","225"
"Japan","2,460","40","225","15","2,740"
"Jordan","1,630","95","105","35","1,865"
"Kazakhstan","1,180","35","170","5","1,385"
"Kenya","1,925","105","185","5","2,220"
"Kiribati","0","0","0","0","0"
"Korea (North)","5","0","0","0","5"
"Korea (South)","5,060","65","355","25","5,510"
"Kosovo","60","0","5","0","70"
"Kuwait","3,325","475","260","20","4,085"
"Kyrgyzstan","55","0","10","0","70"
"Laos","65","0","5","0","70"
"Latvia","1,060","40","195","0","1,300"
"Lebanon","1,175","15","85","10","1,285"
"Lesotho","10","5","5","0","20"
"Liberia","35","0","0","0","35"
"Libya","585","110","50","0","750"
"Liechtenstein","20","0","0","0","20"
"Lithuania","3,535","65","580","5","4,185"
"Luxembourg","840","50","275","5","1,175"
"Macao (Special Administrative Region of China)","635","20","50","0","705"
"Macedonia","95","0","10","0","105"
"Madagascar","45","0","5","0","55"
"Malawi","220","15","30","0","265"
"Malaysia","12,820","825","1,310","355","15,310"
"Maldives","180","5","10","0","195"
"Mali","15","0","0","0","20"
"Malta","585","55","125","10","775"
"Mauritania","30","0","0","0","30"
"Mauritius","1,045","30","40","5","1,115"
"Mayotte","0","0","0","0","0"
"Mexico","1,630","35","320","10","1,995"
"Micronesia","0","0","0","0","0"
"Moldova","50","0","5","0","55"
"Monaco","115","0","10","0","125"
"Mongolia","190","5","20","0","215"
"Montenegro","50","0","5","0","60"
"Montserrat","15","0","0","0","15"
"Morocco","665","25","60","5","760"
"Mozambique","90","0","15","0","105"
"Namibia","125","15","30","0","170"
"Nauru","0","0","0","0","0"
"Nepal","440","15","85","20","560"
"Netherlands","3,010","140","585","15","3,750"
"New Caledonia","5","0","0","0","10"
"New Zealand","455","10","65","5","535"
"Nicaragua","15","0","0","0","15"
"Niger","15","0","0","0","15"
"Nigeria","9,060","450","1,115","70","10,695"
"Norway","3,600","180","685","5","4,470"
"Occupied Palestinian Territories {formerly West Bank (including East Jerusalem) and Gaza Strip}","225","10","25","0","260"
"Oman","1,880","285","280","20","2,460"
"Pakistan","5,070","175","665","70","5,980"
"Palau","0","0","0","0","0"
"Panama","80","5","20","0","105"
"Papua New Guinea","5","0","5","0","10"
"Paraguay","50","0","5","0","60"
"Peru","455","5","30","5","495"
"Philippines","675","80","85","5","845"
"Pitcairn, Henderson, Ducie and Oeno Islands","0","0","0","0","0"
"Poland","5,945","730","1,005","20","7,700"
"Portugal","4,465","125","245","10","4,845"
"Puerto Rico","40","0","10","0","50"
"Qatar","2,555","270","150","10","2,985"
"Romania","8,095","225","465","15","8,805"
"Russia","3,570","70","360","15","4,020"
"Rwanda","70","5","20","0","100"
"Samoa","5","0","0","0","5"
"San Marino","0","0","0","0","0"
"Sao Tome and Principe","5","0","0","0","5"
"Saudi Arabia","6,390","820","770","55","8,035"
"Senegal","60","5","5","0","75"
"Serbia","265","5","25","0","295"
"Seychelles","110","5","10","0","130"
"Sierra Leone","105","5","10","0","120"
"Singapore","6,270","95","695","70","7,135"
"Sint Maarten (Dutch part)","10","0","0","0","15"
"Slovakia","1,245","65","465","5","1,780"
"Slovenia","280","15","105","0","405"
"Solomon Islands","0","0","0","0","0"
"Somalia","35","0","0","0","40"
"South Africa","1,265","50","245","0","1,560"
"South Sudan","30","0","0","0","30"
"Spain","8,155","370","1,360","35","9,915"
"Sri Lanka","995","50","105","15","1,165"
"St Helena, Ascension and Tristan da Cunha","20","0","0","0","20"
"St Kitts and Nevis","25","5","5","0","30"
"St Lucia","70","5","35","0","115"
"St Martin (French Part)","5","0","0","0","5"
"St Vincent and the Grenadines","30","0","5","0","35"
"Sudan","250","10","25","0","285"
"Suriname","0","0","0","0","5"
"Swaziland","25","5","5","0","35"
"Sweden","2,210","80","785","10","3,085"
"Switzerland","3,585","105","420","5","4,120"
"Syria","185","5","30","0","220"
"Taiwan","3,395","40","360","10","3,810"
"Tajikistan","35","0","0","0","35"
"Tanzania","560","30","100","5","695"
"Thailand","5,630","95","635","15","6,370"
"Togo","20","0","0","0","20"
"Tonga","5","0","0","0","5"
"Trinidad and Tobago","560","45","45","0","655"
"Tunisia","150","5","5","0","160"
"Turkey","3,210","80","285","15","3,585"
"Turkmenistan","40","0","5","0","45"
"Turks and Caicos Islands","110","5","5","0","115"
"Tuvalu","0","0","0","0","0"
"Uganda","580","25","55","5","670"
"Ukraine","830","15","70","0","915"
"United Arab Emirates","4,090","135","460","30","4,720"
"United States","13,860","500","4,865","235","19,460"
"United States Virgin Islands","5","0","0","0","10"
"Uruguay","100","0","10","0","110"
"Uzbekistan","185","10","15","0","205"
"Vanuatu","0","0","0","0","0"
"Vatican City","0","0","0","0","0"
"Venezuela","200","5","20","0","225"
"Vietnam","3,330","80","165","45","3,615"
"Wallis and Futuna","0","0","0","0","0"
"Western Sahara","0","0","0","0","0"
"Yemen","75","10","10","0","90"
"Zambia","400","30","50","5","480"
"Zimbabwe","795","75","85","5","960"
"Europe not otherwise specified","60","0","0","0","65"
"European Union, not otherwise specified","240","10","60","0","310"
"Africa not otherwise specified","10","0","5","0","15"
"Antarctica and Oceania not otherwise specified","5","0","0","0","5"
"Asia (Except Middle East) not otherwise specified","15","0","0","0","20"
"Caribbean not otherwise specified","10","0","0","0","10"
"North America not otherwise specified","0","0","0","0","0"
"Not known","20","0","10","0","30"
"Total","1,983,710","129,585","247,220","54,460","2,414,970"
